"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"User can see an appropriate message if there is no Circle K station in searched area on list","22502","User can see an appropriate message if there is no Circle K station in searched area on list","GMAP NA Mobile Test Automation - [IOS SMOKE XML SUITE]","Thu Mar 27 23:28:16 GMT 2025","passed","Thu Mar 27 23:28:38 GMT 2025","testcases.OtherFeaturesTests","GMAP NA Tests | Other Features","testcases.OtherFeaturesTests","userCanSeeAnAppropriateMessageIfThereIsNoCircleKStationInSearchedAreaOnList"
"User tries to change email on profile screen with valid inputs","59890","User tries to change email on profile screen with valid inputs","GMAP NA Mobile Test Automation - [IOS SMOKE XML SUITE]","Thu Mar 27 23:15:56 GMT 2025","broken","Thu Mar 27 23:16:56 GMT 2025","testcases.AccountTests","GMAP NA Tests | Account","testcases.AccountTests","userTriesToChangeEmailOnProfileScreenWithValidInputs"
"User can see an appropriate message if there is no Circle K station in searched area on map","26353","User can see an appropriate message if there is no Circle K station in searched area on map","GMAP NA Mobile Test Automation - [IOS SMOKE XML SUITE]","Thu Mar 27 23:28:52 GMT 2025","passed","Thu Mar 27 23:29:18 GMT 2025","testcases.OtherFeaturesTests","GMAP NA Tests | Other Features","testcases.OtherFeaturesTests","userCanSeeAnAppropriateMessageIfThereIsNoCircleKStationInSearchedAreaOnMap"
"User tries to change name on profile screen with valid inputs","49873","User tries to change name on profile screen with valid inputs","GMAP NA Mobile Test Automation - [IOS SMOKE XML SUITE]","Thu Mar 27 23:14:08 GMT 2025","broken","Thu Mar 27 23:14:58 GMT 2025","testcases.AccountTests","GMAP NA Tests | Account","testcases.AccountTests","userTriesToChangeNameOnProfileScreenWithValidInputs"
"Existing user tries to sign-in via email address on 'Onboarding' screen using OTP code","182843","Existing user tries to sign-in via email address on 'Onboarding' screen using OTP code","GMAP NA Mobile Test Automation - [IOS SMOKE XML SUITE]","Thu Mar 27 23:27:12 GMT 2025","broken","Thu Mar 27 23:30:14 GMT 2025","testcases.OTPTests","GMAP NA Tests | OTP","testcases.OTPTests","existingUserTriesToSignInViaEmailAddressOnOnboardingScreenUsingOTPCode"
"User tries to sign up by clicking on Easy Pay - Alternate Sign up flow","37750","User tries to sign up by clicking on Easy Pay - Alternate Sign up flow","GMAP NA Mobile Test Automation - [IOS SMOKE XML SUITE]","Thu Mar 27 23:09:40 GMT 2025","broken","Thu Mar 27 23:10:18 GMT 2025","testcases.EasyPayTests","GMAP NA Tests | Easy Pay","testcases.EasyPayTests","userTriesToSignUpByClickingOnEasyPay"
"User can see details of a particular station","77648","User can see details of a particular station","GMAP NA Mobile Test Automation - [IOS SMOKE XML SUITE]","Thu Mar 27 23:24:20 GMT 2025","passed","Thu Mar 27 23:25:37 GMT 2025","testcases.OtherFeaturesTests","GMAP NA Tests | Other Features","testcases.OtherFeaturesTests","userCanSeeDetailsOfAParticularStation"
"User can see Circle K stations in searched area on list","35269","User can see Circle K stations in searched area on list","GMAP NA Mobile Test Automation - [IOS SMOKE XML SUITE]","Thu Mar 27 23:27:27 GMT 2025","passed","Thu Mar 27 23:28:02 GMT 2025","testcases.OtherFeaturesTests","GMAP NA Tests | Other Features","testcases.OtherFeaturesTests","userCanSeeCircleKStationsInSearchedAreaOnList"
"User tries to delete account and cancels deletion","17422","User tries to delete account and cancels deletion","GMAP NA Mobile Test Automation - [IOS SMOKE XML SUITE]","Thu Mar 27 23:12:50 GMT 2025","broken","Thu Mar 27 23:13:08 GMT 2025","testcases.AccountTests","GMAP NA Tests | Account","testcases.AccountTests","userTriesToDeleteAccountAndCancels"
"New user tries to chooses fuel preferences","212574","New user tries to chooses fuel preferences","GMAP NA Mobile Test Automation - [IOS SMOKE XML SUITE]","Thu Mar 27 23:23:11 GMT 2025","passed","Thu Mar 27 23:26:44 GMT 2025","testcases.AccountTests","GMAP NA Tests | Account","testcases.AccountTests","newUserTriesToChoosesFuelPreferences"
"Onboarding Rewards for New IC Member","197328","Onboarding Rewards for New IC Member","GMAP NA Mobile Test Automation - [IOS SMOKE XML SUITE]","Thu Mar 27 23:19:49 GMT 2025","broken","Thu Mar 27 23:23:06 GMT 2025","testcases.OnboardingRewardsTest","GMAP NA Tests | Onboarding Rewards","testcases.OnboardingRewardsTest","userVerifyOnboardingRewardsForNewICMember"
"User tries to change E-Mail on profile screen with invalid inputs","17624","User tries to change E-Mail on profile screen with invalid inputs","GMAP NA Mobile Test Automation - [IOS SMOKE XML SUITE]","Thu Mar 27 23:12:09 GMT 2025","broken","Thu Mar 27 23:12:26 GMT 2025","testcases.AccountTests","GMAP NA Tests | Account","testcases.AccountTests","userTriesToChangeEmailOnProfileScreenWithInvalidInputs"
"Background task that logs the user into the GMAP NA application","36021","BACKGROUND: Log in as guest user | [Other Features]","GMAP NA Mobile Test Automation - [IOS SMOKE XML SUITE]","Thu Mar 27 23:23:30 GMT 2025","passed","Thu Mar 27 23:24:06 GMT 2025","testcases.OtherFeaturesTests","GMAP NA Tests | Other Features","testcases.OtherFeaturesTests","logInAsGuestUser"
"New user tries to sign-up via phone number","106849","New user tries to sign-up via phone number","GMAP NA Mobile Test Automation - [IOS SMOKE XML SUITE]","Thu Mar 27 23:32:48 GMT 2025","broken","Thu Mar 27 23:34:35 GMT 2025","testcases.SignUpTests","GMAP NA Tests | Sign Up","testcases.SignUpTests","newUserTriesToSignUpViaPhoneNumber"
"User tries to change home store using current location","61361","Change Home Store from the home page - Using Current Location","GMAP NA Mobile Test Automation - [IOS SMOKE XML SUITE]","Thu Mar 27 23:29:32 GMT 2025","passed","Thu Mar 27 23:30:33 GMT 2025","testcases.OtherFeaturesTests","GMAP NA Tests | Other Features","testcases.OtherFeaturesTests","userTriesToChangeStoreUsingCurrentLocation"
"Fuel Prices Line verification in Home Page Header for Logged in user","215925","Fuel Prices Line verification in Home Page Header for Logged In user","GMAP NA Mobile Test Automation - [IOS SMOKE XML SUITE]","Thu Mar 27 23:15:33 GMT 2025","passed","Thu Mar 27 23:19:09 GMT 2025","testcases.HomeTests","GMAP NA Tests | Home","testcases.HomeTests","fuelPriceVerificationForLoggedInUser"
"Fuel Prices Line verification in Home Page Header for Logged out user","245786","Fuel Prices Line verification in Home Page Header for Logged Out user","GMAP NA Mobile Test Automation - [IOS SMOKE XML SUITE]","Thu Mar 27 23:10:55 GMT 2025","passed","Thu Mar 27 23:15:01 GMT 2025","testcases.HomeTests","GMAP NA Tests | Home","testcases.HomeTests","fuelPriceVerificationForLoggedOutUser"
"User tries to change name on profile screen with invalid inputs","18238","User tries to change name on profile screen with invalid inputs","GMAP NA Mobile Test Automation - [IOS SMOKE XML SUITE]","Thu Mar 27 23:11:27 GMT 2025","broken","Thu Mar 27 23:11:45 GMT 2025","testcases.AccountTests","GMAP NA Tests | Account","testcases.AccountTests","userTriesToChangeNameOnProfileScreenWithInvalidInputs"
