"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"GMAP user accepts ingo terms while signing  into  INGO app","80436","[INGO][Sign in/Sign up] DK INGO enrollment by GMAP user without terms_ingo accepted","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 07:23:35 GMT 2025","passed","Fri Mar 28 07:24:56 GMT 2025","testcases.OnboardingTests","GMAP INGO Tests | Onboarding","testcases.OnboardingTests","gmapUserDKTriesToSignInToIngoAppAndAcceptsIngoTerms"
"When user click on back chevron on transaction detail screen it will go back to transaction List Page","27713","User switch from transaction detail page to transaction list page","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 06:53:04 GMT 2025","passed","Fri Mar 28 06:53:32 GMT 2025","testcases.TransactionDetailsTest","GMAP INGO Tests | Transaction details","testcases.TransactionDetailsTest","userSwitchesFromTransactionDetailViewToTransactionListView"
"User Clicks on Station Widget on Home and redirects to station detail page","91965","User clicks on station widget on home screen to redirect to station details screen","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 06:49:42 GMT 2025","broken","Fri Mar 28 06:51:14 GMT 2025","testcases.DashboardTest","GMAP INGO Tests | Dashboard","testcases.DashboardTest","clickOnStationWidget"
"[Ingo][Greeting Header Widget]Verify Header Component with short user name","134503","Verify Header Component with short user name after login","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 06:51:52 GMT 2025","passed","Fri Mar 28 06:54:07 GMT 2025","testcases.DashboardTest","GMAP INGO Tests | Dashboard","testcases.DashboardTest","validateShortNameShowingOnHeaderAfterLogin"
"","208684","Verify the fuel types as filter for Store locator functionality with Danish User","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 07:08:20 GMT 2025","passed","Fri Mar 28 07:11:49 GMT 2025","testcases.StoreLocatorTest","GMAP INGO Tests | StoreMapView","testcases.StoreLocatorTest","userTriesToFilterFuelTypesForStoreLocatorDanishUser"
"Background task that logs the user into the INGO application","129840","BACKGROUND: Log in as Existing user","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 07:04:07 GMT 2025","passed","Fri Mar 28 07:06:16 GMT 2025","testcases.AccountTests","GMAP INGO Tests | Account","testcases.AccountTests","logInAsExistingUser"
"","54809","User verify store details screen to show the store information","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 06:45:44 GMT 2025","passed","Fri Mar 28 06:46:39 GMT 2025","testcases.StoreLocatorTest","GMAP INGO Tests | StoreMapView","testcases.StoreLocatorTest","userVerifyTheDetailsDisplayedOnStoreLocatorScreen"
"","87586","Verify the fuel types as filter for Store locator functionality","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 07:02:25 GMT 2025","passed","Fri Mar 28 07:03:52 GMT 2025","testcases.StoreLocatorTest","GMAP INGO Tests | StoreMapView","testcases.StoreLocatorTest","verifyTheFuelTypesAsFilterForStoreLocatorFunctionality"
"Guest user is able to see INGO logo","5337","Guest user is able to see INGO logo","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 06:44:07 GMT 2025","passed","Fri Mar 28 06:44:13 GMT 2025","testcases.DashboardTest","GMAP INGO Tests | Dashboard","testcases.DashboardTest","guestUserIsAbleToSeeIngoLogo"
"User tries to view free liter transactions","223763","User tries to view the free liter history screen details","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 06:44:09 GMT 2025","passed","Fri Mar 28 06:47:53 GMT 2025","testcases.FreeLitersTest","GMAP INGO Tests | FreeLiters","testcases.FreeLitersTest","checkFreeLiterHistoryDetailsTest"
"","18004","User tries to view the stores by searching with a store name in search bar","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 06:48:11 GMT 2025","passed","Fri Mar 28 06:48:29 GMT 2025","testcases.StoreLocatorTest","GMAP INGO Tests | StoreMapView","testcases.StoreLocatorTest","searchForAStore"
"User Sign-in to IngoApp using Email and OTP","133579","User Sign-in to IngoApp using Email and OTP","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 07:27:52 GMT 2025","broken","Fri Mar 28 07:30:06 GMT 2025","testcases.OnboardingTests","GMAP INGO Tests | Onboarding","testcases.OnboardingTests","ingoUserSignIntoAppUsingEmailAndOTP"
"","36204","No Store Found message when user navigates from Map view to List view with no stores","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 06:49:28 GMT 2025","passed","Fri Mar 28 06:50:04 GMT 2025","testcases.StoreLocatorTest","GMAP INGO Tests | StoreMapView","testcases.StoreLocatorTest","userVerifyErrorMessageInListViewWithNoStores"
"","25630","Guest user tried to view stores by searching for a store","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 06:42:55 GMT 2025","passed","Fri Mar 28 06:43:21 GMT 2025","testcases.StoreLocatorTest","GMAP INGO Tests | StoreMapView","testcases.StoreLocatorTest","SearchForLocationAndClickOnStore"
"","163055","No Store Found message displayed when no stores present using filters","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 06:50:22 GMT 2025","passed","Fri Mar 28 06:53:05 GMT 2025","testcases.StoreLocatorTest","GMAP INGO Tests | StoreMapView","testcases.StoreLocatorTest","userVerifyErrorMessageWithNoStoresUsingFilters"
"Guest user is able to see dashboard components","23709","Guest user is able to see dashboard components","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 06:45:30 GMT 2025","broken","Fri Mar 28 06:45:54 GMT 2025","testcases.DashboardTest","GMAP INGO Tests | Dashboard","testcases.DashboardTest","guestUserIsAbleToSeeDashboardComponents"
"","221272","Verify the fuel types as filter for Store locator functionality with Swedish User","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 07:04:15 GMT 2025","passed","Fri Mar 28 07:07:57 GMT 2025","testcases.StoreLocatorTest","GMAP INGO Tests | StoreMapView","testcases.StoreLocatorTest","userTriesToFilterFuelTypesForStoreLocatorSwedishUser"
"Background task that logs the user into the INGO application","123791","BACKGROUND: Log in as existing user","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 06:40:32 GMT 2025","passed","Fri Mar 28 06:42:36 GMT 2025","testcases.CardManagementTests","GMAP INGO Tests | CardManagement","testcases.CardManagementTests","logInAsAnExistingUserUsingMyPhoneNumber"
"user taps on a transaction from the list","27778","User should be taken to the Transaction details screen with the selected transaction's detailed information","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 06:53:50 GMT 2025","passed","Fri Mar 28 06:54:18 GMT 2025","testcases.TransactionDetailsTest","GMAP INGO Tests | Transaction details","testcases.TransactionDetailsTest","checkTransactionDetailScreenIsDisplayed"
"User can view the Invoice of their purchases ","54931","User tries to view the Invoices in Account Section","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 06:43:13 GMT 2025","passed","Fri Mar 28 06:44:08 GMT 2025","testcases.InvoiceTest","GMAP INGO Tests | Invoices","testcases.InvoiceTest","viewInvoices"
"Guest user cannot see the Fuel Statistics component","38365","Guest user cannot see the Fuel Statistics component","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 06:46:54 GMT 2025","passed","Fri Mar 28 06:47:32 GMT 2025","testcases.DashboardTest","GMAP INGO Tests | Dashboard","testcases.DashboardTest","guestUserCannotSeeTheFuelStatisticsComponent"
"Account tab does have links to social media for login user","36437","Account tab does have links to social media for login user","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 06:54:37 GMT 2025","passed","Fri Mar 28 06:55:13 GMT 2025","testcases.TransactionDetailsTest","GMAP INGO Tests | Transaction details","testcases.TransactionDetailsTest","verifySocialLinksForLoginUser"
"","24049","BACKGROUND: Log in as Guest user","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 06:40:28 GMT 2025","passed","Fri Mar 28 06:40:53 GMT 2025","testcases.StoreLocatorTest","GMAP INGO Tests | StoreMapView","testcases.StoreLocatorTest","logInAsGuestUser"
"Background task that logs the user into the INGO application","131295","BACKGROUND: Log in as a car wash user","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 07:01:24 GMT 2025","passed","Fri Mar 28 07:03:36 GMT 2025","testcases.CarWashTest","GMAP INGO Tests | Car Wash","testcases.CarWashTest","logInAsACarWashTestUser"
"User with First name having special Char is showing on header after login","148369"," validate first name on Dashboard after login","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 06:58:23 GMT 2025","failed","Fri Mar 28 07:00:52 GMT 2025","testcases.DashboardTest","GMAP INGO Tests | Dashboard","testcases.DashboardTest","validateSpecialCharFirstNameOfLogInUser"
"user with no transaction and invoices see empty message","135200","verify message for no Invoices screen and transaction screen","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 06:57:13 GMT 2025","passed","Fri Mar 28 06:59:29 GMT 2025","testcases.TransactionDetailsTest","GMAP INGO Tests | Transaction details","testcases.TransactionDetailsTest","emptyInvoiceScreen"
"User is able to see the fuel types and car wash icons","69833","User is able to see the fuel types and car wash service on store widget","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 06:48:13 GMT 2025","passed","Fri Mar 28 06:49:23 GMT 2025","testcases.DashboardTest","GMAP INGO Tests | Dashboard","testcases.DashboardTest","checkFuelTypesAndCarWash"
"User's profile when there are no free liter transactions and also to check functionality of Free Liters Information Overlay","155412","User tries to view the free liter history when there are no free liter history transactions in his profile ","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 06:51:53 GMT 2025","failed","Fri Mar 28 06:54:28 GMT 2025","testcases.FreeLitersTest","GMAP INGO Tests | FreeLiters","testcases.FreeLitersTest","noFreeLitersInUserHistoryTest"
"Background task that logs the user into the INGO application","135239","BACKGROUND: Log in as existing user","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 06:40:39 GMT 2025","passed","Fri Mar 28 06:42:55 GMT 2025","testcases.InvoiceTest","GMAP INGO Tests | Invoices","testcases.InvoiceTest","logInAsExistingUser"
"Ability to apply filters to the list of transactions based on criteria","28295","User apply filters to the list of transactions based on criteria such as fuel type ,car wash","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 06:57:13 GMT 2025","passed","Fri Mar 28 06:57:41 GMT 2025","testcases.UserTransactionTest","GMAP INGO Tests | UserTransaction","testcases.UserTransactionTest","checkTransactionFiltersView"
"GMAP user accepts ingo terms while signing  into  INGO app","82182","GMAP user needs to accept ingo privacy terms for signing into INGO app","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 07:21:42 GMT 2025","passed","Fri Mar 28 07:23:04 GMT 2025","testcases.OnboardingTests","GMAP INGO Tests | Onboarding","testcases.OnboardingTests","gmapSEUserTriesToSignInToIngoAppAndAcceptsIngoTerms"
"User previews invoice menu without transactions","16576","User tries to download the Invoices in Account Section","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 06:44:26 GMT 2025","passed","Fri Mar 28 06:44:43 GMT 2025","testcases.InvoiceTest","GMAP INGO Tests | Invoices","testcases.InvoiceTest","downloadInvoices"
"Background task that logs the user into the INGO application","136122","BACKGROUND: Log in as a user to check Free liters history transactions","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 06:40:32 GMT 2025","passed","Fri Mar 28 06:42:48 GMT 2025","testcases.FreeLitersTest","GMAP INGO Tests | FreeLiters","testcases.FreeLitersTest","logInAsAUserToCheckFreeLiter"
"New user tries to sign-up via email","214119","New user tries to sign-up via email","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 06:58:56 GMT 2025","passed","Fri Mar 28 07:02:30 GMT 2025","testcases.OnboardingTests","GMAP INGO Tests | Onboarding","testcases.OnboardingTests","newUserTriesToSignUpViaEmailFromOnboarding"
"Guest user cannot see the savings widget","34142","Guest user cannot see the savings widget","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 06:46:07 GMT 2025","passed","Fri Mar 28 06:46:41 GMT 2025","testcases.DashboardTest","GMAP INGO Tests | Dashboard","testcases.DashboardTest","guestUserCannotSeeTheSavingsWidget"
"Background task that logs the user into the INGO application","128368","BACKGROUND: Log in as user to check user transactions","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 06:54:52 GMT 2025","passed","Fri Mar 28 06:57:00 GMT 2025","testcases.UserTransactionTest","GMAP INGO Tests | UserTransaction","testcases.UserTransactionTest","logInAsToCheckUserTransaction"
"User can view the Invoice of their purchases ","139891","User not having invoices in Invoice Screen","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 06:46:13 GMT 2025","passed","Fri Mar 28 06:48:33 GMT 2025","testcases.InvoiceTest","GMAP INGO Tests | Invoices","testcases.InvoiceTest","userWithNoInvoices"
"","96779","User gets real-time suggestions as they type in Store type ahead search","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 06:55:24 GMT 2025","broken","Fri Mar 28 06:57:00 GMT 2025","testcases.StoreLocatorTest","GMAP INGO Tests | StoreMapView","testcases.StoreLocatorTest","userGetsRealTimeSuggestionsAsTheyType"
"Sign in, delete your account try to sign in again","171797","Deleting account and sign in again using same email","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 07:15:38 GMT 2025","failed","Fri Mar 28 07:18:30 GMT 2025","testcases.OnboardingTests","GMAP INGO Tests | Onboarding","testcases.OnboardingTests","deleteExistingUserAndSignInUsingSameEmail"
"","27888","User tries to view the stores by searching with a store name in search bar and if the store is not present","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 06:48:42 GMT 2025","passed","Fri Mar 28 06:49:10 GMT 2025","testcases.StoreLocatorTest","GMAP INGO Tests | StoreMapView","testcases.StoreLocatorTest","noStoreWhenSearchedWithOtherStoreName"
"New user sign up via phone number on first/clean app run","202971","New user sign up via phone number on first/clean app run","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 07:03:08 GMT 2025","passed","Fri Mar 28 07:06:31 GMT 2025","testcases.OnboardingTests","GMAP INGO Tests | Onboarding","testcases.OnboardingTests","newUserSignUpViaPhoneNumber"
"As a user, I want to see a synopsis of my fuel savings, so that I can keep track of my savings","155789","As a user, I want to see a synopsis of my fuel savings, so that I can keep track of my savings.","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 07:04:37 GMT 2025","passed","Fri Mar 28 07:07:13 GMT 2025","testcases.DashboardTest","GMAP INGO Tests | Dashboard","testcases.DashboardTest","checkYourSavingWidget"
"Move sign in/sign up button as per the figma designs","11149","User validate sign in and sign up button for login and guest user ","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 07:07:32 GMT 2025","passed","Fri Mar 28 07:07:43 GMT 2025","testcases.DashboardTest","GMAP INGO Tests | Dashboard","testcases.DashboardTest","checkSignInSignUpButtonForLoginUser"
"INGO User sign in via email and password","137093","INGO User Sign in using Email and password","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 07:18:59 GMT 2025","passed","Fri Mar 28 07:21:16 GMT 2025","testcases.OnboardingTests","GMAP INGO Tests | Onboarding","testcases.OnboardingTests","ingoUserSignIntoAppUsingEmailAndPassword"
"SE New user sign up via phone number on first/clean app run","205740","SE New user sign up via phone number on first/clean app run","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 07:11:20 GMT 2025","passed","Fri Mar 28 07:14:45 GMT 2025","testcases.OnboardingTests","GMAP INGO Tests | Onboarding","testcases.OnboardingTests","newUserSignUpViaPhoneNumberForSweden"
