"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Guest user cannot see the fuel widget","13317","Guest user cannot see the fuel widget","GMAP INGO Mobile Test Automation - [IOS PARALLEL XML SUITE]","Thu Mar 27 07:37:02 GMT 2025","passed","Thu Mar 27 07:37:15 GMT 2025","testcases.DashboardTest","GMAP INGO Tests | Dashboard","testcases.DashboardTest","guestUserCannotSeeTheFuelWidget"
"Account tab does have links to social media for login user","84214","Account tab does have links to social media for login user","GMAP INGO Mobile Test Automation - [IOS PARALLEL XML SUITE]","Thu Mar 27 07:46:59 GMT 2025","broken","Thu Mar 27 07:48:24 GMT 2025","testcases.TransactionDetailsTest","GMAP INGO Tests | Transaction details","testcases.TransactionDetailsTest","verifySocialLinksForLoginUser"
"Background task that logs the user into the INGO application","126200","BACKGROUND: Log in as Existing user","GMAP INGO Mobile Test Automation - [IOS PARALLEL XML SUITE]","Thu Mar 27 07:41:17 GMT 2025","passed","Thu Mar 27 07:43:23 GMT 2025","testcases.TransactionDetailsTest","GMAP INGO Tests | Transaction details","testcases.TransactionDetailsTest","logInAs"
"Guest user is able to see dashboard components","22970","Guest user is able to see dashboard components","GMAP INGO Mobile Test Automation - [IOS PARALLEL XML SUITE]","Thu Mar 27 07:38:06 GMT 2025","broken","Thu Mar 27 07:38:29 GMT 2025","testcases.DashboardTest","GMAP INGO Tests | Dashboard","testcases.DashboardTest","guestUserIsAbleToSeeDashboardComponents"
"","27120","User tries to view the stores by searching with a store name in search bar","GMAP INGO Mobile Test Automation - [IOS PARALLEL XML SUITE]","Thu Mar 27 07:42:39 GMT 2025","passed","Thu Mar 27 07:43:07 GMT 2025","testcases.StoreLocatorTest","GMAP INGO Tests | StoreMapView","testcases.StoreLocatorTest","searchForAStore"
"Sign in, delete your account try to sign in again","174692","Deleting account and sign in again using same email","GMAP INGO Mobile Test Automation - [IOS PARALLEL XML SUITE]","Thu Mar 27 08:13:36 GMT 2025","failed","Thu Mar 27 08:16:31 GMT 2025","testcases.OnboardingTests","GMAP INGO Tests | Onboarding","testcases.OnboardingTests","deleteExistingUserAndSignInUsingSameEmail"
"","78483","User verify store details screen to show the store information","GMAP INGO Mobile Test Automation - [IOS PARALLEL XML SUITE]","Thu Mar 27 07:39:18 GMT 2025","passed","Thu Mar 27 07:40:37 GMT 2025","testcases.StoreLocatorTest","GMAP INGO Tests | StoreMapView","testcases.StoreLocatorTest","userVerifyTheDetailsDisplayedOnStoreLocatorScreen"
"","97411","No stores found in user location and selected area","GMAP INGO Mobile Test Automation - [IOS PARALLEL XML SUITE]","Thu Mar 27 07:47:08 GMT 2025","passed","Thu Mar 27 07:48:46 GMT 2025","testcases.StoreLocatorTest","GMAP INGO Tests | StoreMapView","testcases.StoreLocatorTest","userVerifyErrorMessageWithNoStoresInSelectedArea"
"","519830","User tries to search for stores using using different criteria","GMAP INGO Mobile Test Automation - [IOS PARALLEL XML SUITE]","Thu Mar 27 07:52:16 GMT 2025","passed","Thu Mar 27 08:00:56 GMT 2025","testcases.StoreLocatorTest","GMAP INGO Tests | StoreMapView","testcases.StoreLocatorTest","userTriesToSearchForStoresUsingDifferentCriteria"
"As a user, I want to see a synopsis of my fuel savings, so that I can keep track of my savings","143380","As a user, I want to see a synopsis of my fuel savings, so that I can keep track of my savings.","GMAP INGO Mobile Test Automation - [IOS PARALLEL XML SUITE]","Thu Mar 27 07:54:16 GMT 2025","passed","Thu Mar 27 07:56:39 GMT 2025","testcases.DashboardTest","GMAP INGO Tests | Dashboard","testcases.DashboardTest","checkYourSavingWidget"
