"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","[INGO][GMAP] Dashboard - HomePage","0","[INGO][GMAP] Fuel Statistics Component","1","0","[INGO][GMAP] Fuel Statistics Component","0"
"1","[INGO][GMAP] Transaction details","0","[INGO][GMAP] Feature parity E2E Testing ","1","0","[INGO][GMAP] Account Screen social links","0"
"0","[INGO][GMAP] Transaction details","0","","2","0","","0"
"1","[INGO][GMAP] Dashboard - HomePage","0","[GMAP] Dashboard","2","0","[INGO][GMAP] Dashboard for Guest User","0"
"0","[INGO][GMAP] - Store locator - brand filter","0","[GMAP] Store locator - brand filter","2","0","[INGO][GMAP] Store Search","0"
"0","[INGO][GMAP] ONBOARDING","1","[INGO] Onboarding Test","0","0","[TEST][INGO][Sign in] Sign in, delete your account try to sign in again","0"
"0","[INGO][GMAP] - Store locator - brand filter","0","[INGO] Store locator - brand filter","1","0","[INGO] Store Details Screen","0"
"1","[INGO][GMAP] - Store locator - brand filter","0","[INGO] Store locator - brand filter","2","0","[INGO] Store Locator Error Scenarios","0"
"0","[INGO][GMAP] - Store locator - brand filter","0","[INGO] Store locator - brand filter","1","0","[INGO] Recent Store Searches","0"
"0","[INGO][GMAP] Dashboard - HomePage","0","[GMAP] Dashboard Analysis","1","0","[INGO][GMAP] Your Savings Widget","0"
"0","[INGO][GMAP] - Store locator - brand filter","0","[GMAP] Store locator","3","0","[INGO][GMAP] Store Map view","0"
"0","[INGO][GMAP] ONBOARDING","0","[INGO] Onboarding Test","2","0","[GMAP][INGO] Sign up via phone number","0"
"0","[INGO][GMAP] Dashboard - HomePage","0","[GMAP] Dashboard","2","0","[INGO][GMAP] Ingo Logo","0"
"1","[INGO][GMAP] Account","0","[INGO on GMAP] - Wallet","0","0","[INGO][Wallet] Updated wallet screen","0"
"0","[INGO][GMAP] Transaction details","0","[INGO][GMAP] Transactions List Screen","3","0","[INGO][GMAP] Transaction List Screen","0"
"0","[INGO][GMAP] ONBOARDING","0","[INGO] Sign In Test","2","0","[GMAP][INGO] SE INGO enrollment by GMAP user","0"
"0","[INGO][GMAP] Card Management","0","","1","0","","0"
"0","[INGO][GMAP] Free liter loyalty feature parity","0","[Ingo][GMAP] Free liter loyalty feature parity","3","0","[INGO][GMAP] Free Liters History Screen","0"
"0","[INGO][GMAP] - Store locator - brand filter","0","","1","0","","0"
"0","[INGO][GMAP] - Store locator - brand filter","0","[INGO][GMAP] Store locator","1","0","[INGO][GMAP] Store card","0"
"0","[INGO][GMAP] CAR WASH","0","","1","0","","0"
"0","[INGO][GMAP] Dashboard - HomePage","0","[GMAP] Dashboard","2","0","[INGO][GMAP] Greeting header widget","0"
"0","[INGO][GMAP] ONBOARDING","0","[INGO] SE New user sign up via Email address on first/clean app run - happy path","1","0","[GMAP][INGO] Sign In - First Launch","0"
"0","[INGO][GMAP] Free liter loyalty feature parity","0","","1","0","","0"
"0","[INGO][GMAP] ONBOARDING","0","[INGO] Sign In Test","1","0","[GMAP][INGO] Sign with Phone number and OTP","0"
"0","[INGO][GMAP] Dashboard - HomePage","0","[GMAP] Dashboard","1","0","[INGO][GMAP] Dashboard for guest user","0"
"1","[INGO][GMAP] Invoices","0","[GMAP] Account Invoice","3","0","[INGO][GMAP] Invoice List Screen","0"
"0","[INGO][GMAP] - Store locator - brand filter","0","[INGO] Store locator - brand filter","4","0","[INGO] Store Search result filters","0"
"0","[INGO][GMAP] ONBOARDING","0","[INGO] New user sign up via Email address on first/clean app run - happy path","1","0","[GMAP][INGO] Sign In - First Launch","0"
"0","[INGO][GMAP] Dashboard - HomePage","0","[GMAP] Dashboard Analysis","1","0","[INGO][GMAP] Move sign in/sign up button as per the figma designs","0"
"0","[INGO][GMAP] Transaction details","0","[INGO][GMAP] Transactions details Screen","1","0","[INGO][GMAP] Transaction Detail Screen","0"
"0","[INGO][GMAP] Dashboard - HomePage","0","","1","0","","0"
"0","[INGO][GMAP] Free liter loyalty feature parity","0","[Ingo][GMAP] Free liter loyalty feature parity","2","0","[INGO][GMAP] Free Liters Information Overlay and No Free Liters Screen","0"
"0","[INGO][GMAP] Invoices","0","","1","0","","0"
"0","[INGO][GMAP] - Store locator - brand filter","0","[INGO][GMAP] Store locator","1","0","[INGO][GMAP] Store List view","0"
"1","[INGO][GMAP] Dashboard - HomePage","0","[GMAP] Dashboard","2","0","[INGO][GMAP] Redirect to Store Details on click of Store Widget","0"
"0","[INGO][GMAP] Dashboard - HomePage","1","[INGO][GMAP] Header Widget","1","0","[INGO][GMAP] Greeting Header Widget","0"
"0","[INGO][GMAP] INGO Games","0","[INGO on GMAP] - Games","1","0","[INGO][Games] For non logged in users align the text on Games landing screen to center aligned","0"
"0","[INGO][GMAP] Transaction details","0","[INGO] Transactions details","1","0","[INGO][GMAP] Transactions Filter View","0"
"0","[INGO][GMAP] - Store locator - brand filter","0","[INGO] Store locator - brand filter","1","0","[INGO] Store Search Type Ahead Suggestions","0"
"1","[INGO][GMAP] Transaction details","0","[GMAP] Transactions details","0","0","[INGO][GMAP] Transactions Filter View","0"
"1","[INGO][GMAP] Transaction details","0","[INGO][GMAP] Feature parity E2E Testing","0","0","[INGO] Change illustration - empty stages and error handling","0"
"0","[INGO][GMAP] Account","0","","1","0","","0"
"1","[INGO][GMAP] ONBOARDING","0","[INGO] Sign In Test","0","0","[GMAP][INGO] Sign with Email and OTP","0"
"0","[INGO][GMAP] ONBOARDING","0","[INGO] Sign In Test","1","0","[GMAP][INGO] Sign In via Email","0"
