"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","219540","Verify the fuel types as filter for Store locator functionality with Danish User","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 14:18:47 GMT 2025","passed","Fri Mar 28 14:22:26 GMT 2025","testcases.StoreLocatorTest","GMAP INGO Tests | StoreMapView","testcases.StoreLocatorTest","userTriesToFilterFuelTypesForStoreLocatorDanishUser"
"User is able to see the fuel types and car wash icons","109001","User is able to see the fuel types and car wash service on store widget","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 13:54:49 GMT 2025","passed","Fri Mar 28 13:56:38 GMT 2025","testcases.DashboardTest","GMAP INGO Tests | Dashboard","testcases.DashboardTest","checkFuelTypesAndCarWash"
"User tries to view Transactions List","40319","User tries to view the transactions history screen when there are No Transactions for the selected month","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 13:58:34 GMT 2025","passed","Fri Mar 28 13:59:14 GMT 2025","testcases.TransactionDetailsTest","GMAP INGO Tests | Transaction details","testcases.TransactionDetailsTest","checkTransactionsHistoryWithNoTransactionsInMonthTest"
"User Clicks on Station Widget on Home and redirects to station detail page","119676","User clicks on station widget on home screen to redirect to station details screen","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 13:56:59 GMT 2025","passed","Fri Mar 28 13:58:58 GMT 2025","testcases.DashboardTest","GMAP INGO Tests | Dashboard","testcases.DashboardTest","clickOnStationWidget"
"Background task that logs the user into the INGO application","130251","BACKGROUND: Log in as user to check user transactions","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 14:02:52 GMT 2025","passed","Fri Mar 28 14:05:02 GMT 2025","testcases.UserTransactionTest","GMAP INGO Tests | UserTransaction","testcases.UserTransactionTest","logInAsToCheckUserTransaction"
"","71979","Allow users to filter the store list based on the services offered","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 13:52:52 GMT 2025","passed","Fri Mar 28 13:54:04 GMT 2025","testcases.StoreLocatorTest","GMAP INGO Tests | StoreMapView","testcases.StoreLocatorTest","userTriesToFilterStations"
"","30307","User tries to view the stores in list view when there are no stores available nearby","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 13:50:06 GMT 2025","passed","Fri Mar 28 13:50:37 GMT 2025","testcases.StoreLocatorTest","GMAP INGO Tests | StoreMapView","testcases.StoreLocatorTest","viewListWhenStoresAreNotAvailable"
"Guest user cannot see the savings widget","33771","Guest user cannot see the savings widget","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 13:52:15 GMT 2025","passed","Fri Mar 28 13:52:48 GMT 2025","testcases.DashboardTest","GMAP INGO Tests | Dashboard","testcases.DashboardTest","guestUserCannotSeeTheSavingsWidget"
"User previews invoice menu without transactions","22967","User tries to download the Invoices in Account Section","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 13:50:02 GMT 2025","passed","Fri Mar 28 13:50:25 GMT 2025","testcases.InvoiceTest","GMAP INGO Tests | Invoices","testcases.InvoiceTest","downloadInvoices"
"","24614","BACKGROUND: Log in as Guest user","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 13:46:20 GMT 2025","passed","Fri Mar 28 13:46:45 GMT 2025","testcases.StoreLocatorTest","GMAP INGO Tests | StoreMapView","testcases.StoreLocatorTest","logInAsGuestUser"
"Background task that logs the user into the INGO application","149543","BACKGROUND: Log in as a user to check Free liters history transactions","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 13:46:24 GMT 2025","passed","Fri Mar 28 13:48:54 GMT 2025","testcases.FreeLitersTest","GMAP INGO Tests | FreeLiters","testcases.FreeLitersTest","logInAsAUserToCheckFreeLiter"
