"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"User previews invoice menu without transactions","1","User tries to download the Invoices in Account Section","GMAP INGO Mobile Test Automation - [ANDROID SMOKE XML SUITE]","Thu Mar 27 20:50:59 GMT 2025","broken","Thu Mar 27 20:50:59 GMT 2025","testcases.InvoiceTest","GMAP INGO Tests | Invoices","testcases.InvoiceTest","downloadInvoices"
"User tries to view Transaction Filter Screen","1","when user taps on the filter icon on the list screen, user should be presented with the transaction filter screen","GMAP INGO Mobile Test Automation - [ANDROID SMOKE XML SUITE]","Thu Mar 27 21:04:28 GMT 2025","broken","Thu Mar 27 21:04:28 GMT 2025","testcases.TransactionDetailsTest","GMAP INGO Tests | Transaction details","testcases.TransactionDetailsTest","checkTransactionFilterScreenIsDisplayed"
"","1","Allow users to filter the store list based on the services offered","GMAP INGO Mobile Test Automation - [ANDROID SMOKE XML SUITE]","Thu Mar 27 20:22:54 GMT 2025","broken","Thu Mar 27 20:22:54 GMT 2025","testcases.StoreLocatorTest","GMAP INGO Tests | StoreMapView","testcases.StoreLocatorTest","userTriesToFilterStations"
"User profile when there are no free liter transactions and also to check functionality of Free Liters Information Overlay","3","User tries to click on the information overlay to see the info and closes it","GMAP INGO Mobile Test Automation - [ANDROID SMOKE XML SUITE]","Thu Mar 27 20:23:38 GMT 2025","broken","Thu Mar 27 20:23:38 GMT 2025","testcases.FreeLitersTest","GMAP INGO Tests | FreeLiters","testcases.FreeLitersTest","freeLitersInformationOverlayTest"
"SE New user sign up via phone number on first/clean app run","0","SE New user sign up via phone number on first/clean app run","GMAP INGO Mobile Test Automation - [ANDROID SMOKE XML SUITE]","Thu Mar 27 21:24:38 GMT 2025","broken","Thu Mar 27 21:24:38 GMT 2025","testcases.OnboardingTests","GMAP INGO Tests | Onboarding","testcases.OnboardingTests","newUserSignUpViaPhoneNumberForSweden"
"Background task that logs the user into the INGO application","0","BACKGROUND: Log in as existing user","GMAP INGO Mobile Test Automation - [ANDROID SMOKE XML SUITE]","Thu Mar 27 20:44:12 GMT 2025","broken","Thu Mar 27 20:44:12 GMT 2025","testcases.InvoiceTest","GMAP INGO Tests | Invoices","testcases.InvoiceTest","logInAsExistingUser"
"User is able to see store widget on dashboard","1","User is able to see store widget on dashboard","GMAP INGO Mobile Test Automation - [ANDROID SMOKE XML SUITE]","Thu Mar 27 20:56:16 GMT 2025","broken","Thu Mar 27 20:56:16 GMT 2025","testcases.DashboardTest","GMAP INGO Tests | Dashboard","testcases.DashboardTest","userIsAbleToSeeStoreWidgetOnDashboard"
"User tries to view free liter transactions","0","User tries to view the free liter history screen details","GMAP INGO Mobile Test Automation - [ANDROID SMOKE XML SUITE]","Thu Mar 27 20:30:30 GMT 2025","broken","Thu Mar 27 20:30:30 GMT 2025","testcases.FreeLitersTest","GMAP INGO Tests | FreeLiters","testcases.FreeLitersTest","checkFreeLiterHistoryDetailsTest"
"Background task that logs the user into the INGO application","0","BACKGROUND: Log in as Guest user","GMAP INGO Mobile Test Automation - [ANDROID SMOKE XML SUITE]","Thu Mar 27 20:49:29 GMT 2025","broken","Thu Mar 27 20:49:29 GMT 2025","testcases.DashboardTest","GMAP INGO Tests | Dashboard","testcases.DashboardTest","logInAsGuestUser"
"","2","User tries to search for stores using using different criteria","GMAP INGO Mobile Test Automation - [ANDROID SMOKE XML SUITE]","Thu Mar 27 20:42:34 GMT 2025","broken","Thu Mar 27 20:42:34 GMT 2025","testcases.StoreLocatorTest","GMAP INGO Tests | StoreMapView","testcases.StoreLocatorTest","userTriesToSearchForStoresUsingDifferentCriteria"
