"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"User tries to change name on profile screen with invalid inputs","37225","User tries to change name on profile screen with invalid inputs","GMAP NA Mobile Test Automation - [IOS PARALLEL XML SUITE]","Fri Mar 28 08:43:39 GMT 2025","passed","Fri Mar 28 08:44:16 GMT 2025","testcases.AccountTests","GMAP NA Tests | Account","testcases.AccountTests","userTriesToChangeNameOnProfileScreenWithInvalidInputs"
"Existing user tries to sign-in via email address on 'Home' screen using OTP code","97142","Existing user tries to sign-in via email address on 'Home' screen using OTP code","GMAP NA Mobile Test Automation - [IOS PARALLEL XML SUITE]","Fri Mar 28 09:10:24 GMT 2025","passed","Fri Mar 28 09:12:01 GMT 2025","testcases.OTPTests","GMAP NA Tests | OTP","testcases.OTPTests","existingUserTriesToSignInViaEmailAddressOnHomeScreenUsingOTPCode"
"User tries to sign up by clicking on Easy Pay - Alternate Sign up flow","168019","User tries to sign up by clicking on Easy Pay - Alternate Sign up flow","GMAP NA Mobile Test Automation - [IOS PARALLEL XML SUITE]","Fri Mar 28 08:55:36 GMT 2025","passed","Fri Mar 28 08:58:24 GMT 2025","testcases.EasyPayTests","GMAP NA Tests | Easy Pay","testcases.EasyPayTests","userTriesToSignUpByClickingOnEasyPay"
"Existing user tries to sign-in via phone number on 'Home' screen using OTP code","97836","Existing user tries to sign-in via phone number on 'Home' screen using OTP code","GMAP NA Mobile Test Automation - [IOS PARALLEL XML SUITE]","Fri Mar 28 09:12:28 GMT 2025","passed","Fri Mar 28 09:14:06 GMT 2025","testcases.OTPTests","GMAP NA Tests | OTP","testcases.OTPTests","existingUserTriesToSignInViaPhoneNumberOnHomeScreenUsingOTPCode"
"We need to encourage customers to grow with us and move from Level 1 to Level 2","261498","Test to ensure that the user sees a massage to inform him/her when reaching Premium Tier","GMAP NA Mobile Test Automation - [IOS PARALLEL XML SUITE]","Fri Mar 28 09:03:49 GMT 2025","broken","Fri Mar 28 09:08:10 GMT 2025","testcases.OnboardingRewardsTest","GMAP NA Tests | Onboarding Rewards","testcases.OnboardingRewardsTest","userVerifyCelebrationMessageWhenReachingNewInnerCircleTier"
"User tries to delete account","132953","User tries to delete account","GMAP NA Mobile Test Automation - [IOS PARALLEL XML SUITE]","Fri Mar 28 09:11:23 GMT 2025","passed","Fri Mar 28 09:13:36 GMT 2025","testcases.AccountTests","GMAP NA Tests | Account","testcases.AccountTests","userTriesToDeleteAccount"
"Existing user tries to sign-in via phone number on 'Home' screen","98651","Existing user tries to sign-in via phone number on 'Home' screen","GMAP NA Mobile Test Automation - [IOS PARALLEL XML SUITE]","Fri Mar 28 09:27:26 GMT 2025","passed","Fri Mar 28 09:29:05 GMT 2025","testcases.SignInTests","GMAP NA Tests | Sign In","testcases.SignInTests","existingUserTriesToSignInViaPhoneNumberOnHomeScreen"
"New user tries to sign-up via email address on 'Account' screen","133197","New user tries to sign-up via email address on 'Account' screen","GMAP NA Mobile Test Automation - [IOS PARALLEL XML SUITE]","Fri Mar 28 09:34:59 GMT 2025","passed","Fri Mar 28 09:37:12 GMT 2025","testcases.SignUpTests","GMAP NA Tests | Sign Up","testcases.SignUpTests","newUserTriesToSignUpViaEmailAddressOnAccountScreen"
"Existing user tries to sign-in via phone number on 'Account' screen using OTP code","110038","Existing user tries to sign-in via phone number on 'Home' screen using OTP code","GMAP NA Mobile Test Automation - [IOS PARALLEL XML SUITE]","Fri Mar 28 09:16:42 GMT 2025","passed","Fri Mar 28 09:18:32 GMT 2025","testcases.OTPTests","GMAP NA Tests | OTP","testcases.OTPTests","existingUserTriesToSignInViaPhoneNumberOnAccountScreenUsingOtpCode"
"User attempts to add an valid code","142760","User attempts to add an valid code","GMAP NA Mobile Test Automation - [IOS PARALLEL XML SUITE]","Fri Mar 28 09:17:35 GMT 2025","passed","Fri Mar 28 09:19:58 GMT 2025","testcases.PartnershipCodesTests","GMAP NA Tests | Partnership Codes","testcases.PartnershipCodesTests","userAttemptsToAddAnValidCode"
