"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","[GMAP][NA] ACCOUNT","0","[GMAP][NA] Modify Account Info","2","0","[GMAP][NA] Modify Account Info - Invalid Inputs","0"
"2","[GMAP][NA] ACCOUNT","0","[GMAP][NA] Modify Account Info","1","0","[GMAP][NA] Modify Account Info - Valid inputs","0"
"1","[GMAP][NA] EASY PAY","0","[GMAP][NA] Easy Pay","0","0","[GMAP][NA] Easy Pay","0"
"0","[GMAP][NA] OTHER FEATURES","0","[GMAP][NA] Store Locator","2","0","[GMAP][NA] Store Locator - List view","0"
"0","[GMAP][NA] HOME","0","[GMAP][NA] Fuel Preferences","1","0","[GMAP][NA] Fuel Prices Line in Home Page Header - Logged out user","0"
"0","[GMAP][NA] OTHER FEATURES","0","[GMAP][NA] Store Locator","1","0","[GMAP][NA] Store Locator - Store details","0"
"0","[GMAP][NA] ACCOUNT","0","[GMAP][NA] Fuel Preferences","1","0","[GMAP][NA] Fuel Preferences - Choosing Preference","0"
"0","[GMAP][NA] ACCOUNT","0","[GMAP][NA] Modify Account Password","1","0","[GMAP][NA] Modify Account password - Invalid inputs","0"
"2","[GMAP][NA] OTP","0","[GMAP][NA] Sign In","0","0","[GMAP][NA] Sign In - First Launch","0"
"2","[GMAP][NA] SIGN UP","0","[GMAP][NA] Sign Up","0","0","[GMAP][NA] Sign Up - First Launch","0"
"1","[GMAP][NA] OTHER FEATURES","0","[GMAP][NA] Store Locator","0","0","[GMAP][NA] Store Locator","0"
"0","[GMAP][NA] OTHER FEATURES","0","[GMAP][NA] Store Locator","1","0","[GMAP][NA] Store Locator - Map View","0"
"0","[GMAP][NA] OTHER FEATURES","0","[GMAP][NA] Store Locator","1","0","[GMAP][NA] Store Locator - Map view","0"
"0","[GMAP][NA] HOME","0","[GMAP][NA] Fuel Preferences","1","0","[GMAP][NA] Fuel Prices Line in Home Page Header - Logged in user","0"
"0","[GMAP][NA] ACCOUNT","0","[GMAP][NA] Delete Account","1","0","[GMAP][NA] Delete Account - Completion","0"
"0","[GMAP][NA] ACCOUNT","0","[GMAP][NA] Delete Account","1","0","[GMAP][NA] Delete Account - Cancellation","0"
"0","[GMAP][NA] ACCOUNT","0","","1","0","","0"
"0","[GMAP][NA] OTHER FEATURES","0","","1","0","","0"
