"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"User tries to change E-Mail on profile screen with invalid inputs","111033","User tries to change E-Mail on profile screen with invalid inputs","GMAP NA Mobile Test Automation - [ANDROID SMOKE XML SUITE]","Thu Mar 27 22:05:37 GMT 2025","passed","Thu Mar 27 22:07:28 GMT 2025","testcases.AccountTests","GMAP NA Tests | Account","testcases.AccountTests","userTriesToChangeEmailOnProfileScreenWithInvalidInputs"
"User tries to change name on profile screen with valid inputs","39411","User tries to change name on profile screen with valid inputs","GMAP NA Mobile Test Automation - [ANDROID SMOKE XML SUITE]","Thu Mar 27 22:09:30 GMT 2025","broken","Thu Mar 27 22:10:09 GMT 2025","testcases.AccountTests","GMAP NA Tests | Account","testcases.AccountTests","userTriesToChangeNameOnProfileScreenWithValidInputs"
"User tries to sign up by clicking on Easy Pay - Alternate Sign up flow","24072","User tries to sign up by clicking on Easy Pay - Alternate Sign up flow","GMAP NA Mobile Test Automation - [ANDROID SMOKE XML SUITE]","Thu Mar 27 22:02:56 GMT 2025","broken","Thu Mar 27 22:03:20 GMT 2025","testcases.EasyPayTests","GMAP NA Tests | Easy Pay","testcases.EasyPayTests","userTriesToSignUpByClickingOnEasyPay"
"User tries to change name on profile screen with invalid inputs","24369","User tries to change name on profile screen with invalid inputs","GMAP NA Mobile Test Automation - [ANDROID SMOKE XML SUITE]","Thu Mar 27 22:04:54 GMT 2025","passed","Thu Mar 27 22:05:19 GMT 2025","testcases.AccountTests","GMAP NA Tests | Account","testcases.AccountTests","userTriesToChangeNameOnProfileScreenWithInvalidInputs"
"User can see an appropriate message if there is no Circle K station in searched area on list","17723","User can see an appropriate message if there is no Circle K station in searched area on list","GMAP NA Mobile Test Automation - [ANDROID SMOKE XML SUITE]","Thu Mar 27 22:14:13 GMT 2025","passed","Thu Mar 27 22:14:31 GMT 2025","testcases.OtherFeaturesTests","GMAP NA Tests | Other Features","testcases.OtherFeaturesTests","userCanSeeAnAppropriateMessageIfThereIsNoCircleKStationInSearchedAreaOnList"
"Fuel Prices Line verification in Home Page Header for Logged out user","184919","Fuel Prices Line verification in Home Page Header for Logged Out user","GMAP NA Mobile Test Automation - [ANDROID SMOKE XML SUITE]","Thu Mar 27 22:04:13 GMT 2025","passed","Thu Mar 27 22:07:17 GMT 2025","testcases.HomeTests","GMAP NA Tests | Home","testcases.HomeTests","fuelPriceVerificationForLoggedOutUser"
"User can see details of a particular station","41837","User can see details of a particular station","GMAP NA Mobile Test Automation - [ANDROID SMOKE XML SUITE]","Thu Mar 27 22:11:44 GMT 2025","passed","Thu Mar 27 22:12:26 GMT 2025","testcases.OtherFeaturesTests","GMAP NA Tests | Other Features","testcases.OtherFeaturesTests","userCanSeeDetailsOfAParticularStation"
"New user tries to chooses fuel preferences","167274","New user tries to chooses fuel preferences","GMAP NA Mobile Test Automation - [ANDROID SMOKE XML SUITE]","Thu Mar 27 22:17:41 GMT 2025","passed","Thu Mar 27 22:20:28 GMT 2025","testcases.AccountTests","GMAP NA Tests | Account","testcases.AccountTests","newUserTriesToChoosesFuelPreferences"
"User tries to change password on profile screen with invalid inputs","18502","User tries to change password on profile screen with invalid inputs","GMAP NA Mobile Test Automation - [ANDROID SMOKE XML SUITE]","Thu Mar 27 22:08:48 GMT 2025","passed","Thu Mar 27 22:09:07 GMT 2025","testcases.AccountTests","GMAP NA Tests | Account","testcases.AccountTests","userTriesToChangePasswordOnProfileScreenWithInValidInputs"
"Existing user tries to sign-in via email address on 'Onboarding' screen using OTP code","99","Existing user tries to sign-in via email address on 'Onboarding' screen using OTP code","GMAP NA Mobile Test Automation - [ANDROID SMOKE XML SUITE]","Thu Mar 27 22:20:11 GMT 2025","broken","Thu Mar 27 22:20:11 GMT 2025","testcases.OTPTests","GMAP NA Tests | OTP","testcases.OTPTests","existingUserTriesToSignInViaEmailAddressOnOnboardingScreenUsingOTPCode"
"New user tries to sign-up via email address","40409","New user tries to sign-up via email address","GMAP NA Mobile Test Automation - [ANDROID SMOKE XML SUITE]","Thu Mar 27 22:20:45 GMT 2025","broken","Thu Mar 27 22:21:26 GMT 2025","testcases.SignUpTests","GMAP NA Tests | Sign Up","testcases.SignUpTests","newUserTriesToSignUpViaEmailAddress"
"Existing user tries to sign-in via email address on 'Onboarding' screen using OTP code","176378","Existing user tries to sign-in via email address on 'Onboarding' screen using OTP code","GMAP NA Mobile Test Automation - [ANDROID SMOKE XML SUITE]","Thu Mar 27 22:17:13 GMT 2025","broken","Thu Mar 27 22:20:10 GMT 2025","testcases.OTPTests","GMAP NA Tests | OTP","testcases.OTPTests","existingUserTriesToSignInViaEmailAddressOnOnboardingScreenUsingOTPCode"
"New user tries to sign-up via phone number","103625","New user tries to sign-up via phone number","GMAP NA Mobile Test Automation - [ANDROID SMOKE XML SUITE]","Thu Mar 27 22:21:49 GMT 2025","broken","Thu Mar 27 22:23:33 GMT 2025","testcases.SignUpTests","GMAP NA Tests | Sign Up","testcases.SignUpTests","newUserTriesToSignUpViaPhoneNumber"
"User tries to change home store using current location","65899","Change Home Store from the home page - Using Current Location","GMAP NA Mobile Test Automation - [ANDROID SMOKE XML SUITE]","Thu Mar 27 22:15:24 GMT 2025","broken","Thu Mar 27 22:16:30 GMT 2025","testcases.OtherFeaturesTests","GMAP NA Tests | Other Features","testcases.OtherFeaturesTests","userTriesToChangeStoreUsingCurrentLocation"
"User tries to change email on profile screen with valid inputs","42608","User tries to change email on profile screen with valid inputs","GMAP NA Mobile Test Automation - [ANDROID SMOKE XML SUITE]","Thu Mar 27 22:10:42 GMT 2025","broken","Thu Mar 27 22:11:25 GMT 2025","testcases.AccountTests","GMAP NA Tests | Account","testcases.AccountTests","userTriesToChangeEmailOnProfileScreenWithValidInputs"
"User can see Circle K stations in searched area on map","37191","User can see Circle K stations in searched area on map","GMAP NA Mobile Test Automation - [ANDROID SMOKE XML SUITE]","Thu Mar 27 22:12:39 GMT 2025","passed","Thu Mar 27 22:13:16 GMT 2025","testcases.OtherFeaturesTests","GMAP NA Tests | Other Features","testcases.OtherFeaturesTests","userCanSeeCircleKStationsInSearchedAreaOnMap"
"User can see an appropriate message if there is no Circle K station in searched area on map","17972","User can see an appropriate message if there is no Circle K station in searched area on map","GMAP NA Mobile Test Automation - [ANDROID SMOKE XML SUITE]","Thu Mar 27 22:14:49 GMT 2025","passed","Thu Mar 27 22:15:07 GMT 2025","testcases.OtherFeaturesTests","GMAP NA Tests | Other Features","testcases.OtherFeaturesTests","userCanSeeAnAppropriateMessageIfThereIsNoCircleKStationInSearchedAreaOnMap"
"Fuel Prices Line verification in Home Page Header for Logged in user","164886","Fuel Prices Line verification in Home Page Header for Logged In user","GMAP NA Mobile Test Automation - [ANDROID SMOKE XML SUITE]","Thu Mar 27 22:07:58 GMT 2025","passed","Thu Mar 27 22:10:43 GMT 2025","testcases.HomeTests","GMAP NA Tests | Home","testcases.HomeTests","fuelPriceVerificationForLoggedInUser"
"User tries to delete account","111846","User tries to delete account","GMAP NA Mobile Test Automation - [ANDROID SMOKE XML SUITE]","Thu Mar 27 22:12:04 GMT 2025","passed","Thu Mar 27 22:13:56 GMT 2025","testcases.AccountTests","GMAP NA Tests | Account","testcases.AccountTests","userTriesToDeleteAccount"
"User tries to delete account and cancels deletion","24183","User tries to delete account and cancels deletion","GMAP NA Mobile Test Automation - [ANDROID SMOKE XML SUITE]","Thu Mar 27 22:07:46 GMT 2025","passed","Thu Mar 27 22:08:10 GMT 2025","testcases.AccountTests","GMAP NA Tests | Account","testcases.AccountTests","userTriesToDeleteAccountAndCancels"
"User tries to change password on profile screen with valid inputs","146906","User tries to change password on profile screen with valid inputs","GMAP NA Mobile Test Automation - [ANDROID SMOKE XML SUITE]","Thu Mar 27 22:14:39 GMT 2025","passed","Thu Mar 27 22:17:06 GMT 2025","testcases.AccountTests","GMAP NA Tests | Account","testcases.AccountTests","userTriesToChangePasswordOnProfileScreenWithValidInputs"
"Background task that logs the user into the GMAP NA application","113161","BACKGROUND: Log in as existing user | [Account]","GMAP NA Mobile Test Automation - [ANDROID SMOKE XML SUITE]","Thu Mar 27 22:02:43 GMT 2025","passed","Thu Mar 27 22:04:37 GMT 2025","testcases.AccountTests","GMAP NA Tests | Account","testcases.AccountTests","logInAsExistingUserUsingPhoneNumber"
"User can see Circle K stations in searched area on list","26585","User can see Circle K stations in searched area on list","GMAP NA Mobile Test Automation - [ANDROID SMOKE XML SUITE]","Thu Mar 27 22:13:29 GMT 2025","passed","Thu Mar 27 22:13:55 GMT 2025","testcases.OtherFeaturesTests","GMAP NA Tests | Other Features","testcases.OtherFeaturesTests","userCanSeeCircleKStationsInSearchedAreaOnList"
"Background task that logs the user into the GMAP NA application","22825","BACKGROUND: Log in as guest user | [Other Features]","GMAP NA Mobile Test Automation - [ANDROID SMOKE XML SUITE]","Thu Mar 27 22:11:07 GMT 2025","passed","Thu Mar 27 22:11:30 GMT 2025","testcases.OtherFeaturesTests","GMAP NA Tests | Other Features","testcases.OtherFeaturesTests","logInAsGuestUser"
