"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","[GMAP] ONBOARDING","0","[GMAP] Sign Up - First Launch, Home section, Account section","2","0","[GMAP] Sign Up - First Launch","0"
"0","[GMAP] CAR WASH","0","[GMAP] CWS enrollment","1","0","[GMAP] Purchasing CWS subscription","0"
"0","[GMAP] SLTests","0","[GMAP] Store Locator","7","0","[GMAP] Store Locator","0"
"2","[GMAP] Extra","4","[GMAP] CWS enrollment","0","0","[GMAP] Purchasing CWS subscription","0"
"0","[GMAP] ACCOUNT","0","[GMAP][Terms]","1","0","[GMAP] Marketing consents","0"
"2","[GMAP] Extra","4","[GMAP] CW consumption","0","0","[GMAP] Single wash consumption","0"
"4","[GMAP] SINGLE_FUELLING_TESTS","0","[GMAP] Fuelling","1","0","[GMAP] Single fuel","0"
"0","[GMAP] CAR WASH SUBSCRIPTION","0","[GMAP] CWS consumption","1","0","[GMAP] CWS cancel up-sell consumption","0"
"0","[GMAP] PAY BY PLATE","0","[GMAP] Fuelling","1","0","[GMAP] Manual flow","0"
"0","[GMAP] CAR WASH","0","[NPS][CW]NPS Screen","1","0","[TEST][CW][NPS] - App acknowledges that user has seen the screen by rating experience NPS","0"
"2","[GMAP] Extra","2","[GMAP] CW consumption","0","0","[GMAP] Tier discount upgrade","0"
"7","[GMAP] ACCOUNT","0","[GMAP] My Account","2","0","[GMAP] Wallet","0"
"1","[GMAP] ACCOUNT","0","[GMAP] My Account","2","0","[GMAP] Profile","0"
"0","[GMAP] PAY BY PLATE","0","[GMAP] PBP settings","1","0","[GMAP] Adding license plate","0"
"0","[GMAP] SUBSCRIPTIONS","0","[GMAP] CWS enrollment","2","0","[GMAP] Purchasing CWS subscription","0"
"3","[GMAP] Extra","0","[GMAP] Fuelling","3","0","[GMAP] Single fuel","0"
"0","[GMAP] CAR WASH SUBSCRIPTION","0","","1","0","","0"
"0","[GMAP] CAR WASH","0","","1","0","","0"
"0","[GMAP] ACCOUNT","0","","1","0","","0"
"2","[GMAP] PAY BY PLATE","0","[GMAP] Fuelling","0","0","[GMAP] Frictionless","0"
"0","[GMAP] CAR WASH","0","[NPS][CW]NPS Screen","1","0","[TEST][CW][NPS] - New NPS screen behavior - Score of 6 or less","0"
"1","[GMAP] SUBSCRIPTIONS","0","[GMAP] PBP enrollment","0","0","[GMAP] Adding license plate","0"
"0","[GMAP] SINGLE_FUELLING_TESTS","0","","1","0","","0"
"1","[GMAP] CAR WASH","0","[GMAP][Terms] Forecourt terms for Car Wash after user buys CWS plan","0","0","[GMAP][Terms] Forecourt terms after user buys CWS plan","0"
"0","[GMAP] PAY BY PLATE","0","[GMAP] PBP settings","1","0","[GMAP] Removing license plate","0"
"1","[GMAP] CAR WASH SUBSCRIPTION","0","[GMAP] CWS consumption","0","0","[GMAP] CWS no up-sell/down-sell consumption","0"
"0","[GMAP] ACCOUNT","0","[GMAP] Remotely configurable screens","2","0","[GMAP] Account UI-Profile Section-Add a new CIRCLE K MASTERCARD item","0"
"0","[GMAP] CAR WASH","0","[GMAP] CW New Logic","1","0","[GMAP] Single wash station offer","0"
"0","[GMAP] ACCOUNT","0","[GMAP] Account","1","0","[GMAP] Terms","0"
"1","[GMAP] CAR WASH SUBSCRIPTION","0","[GMAP] CW New Logic","3","0","[GMAP] CWS-NewLogic","0"
"1","[GMAP] CAR WASH SUBSCRIPTION","0","[GMAP] CWS consumption","0","0","[GMAP] Single wash consumption","0"
"0","[GMAP] ONBOARDING","0","[GMAP] Sign In - First Launch","1","0","[GMAP] Sign In - First Launch","0"
"0","[GMAP] CAR WASH SUBSCRIPTION","0","[GMAP] CWS-NewLogic","1","0","[GMAP] CWS flow when at a store with no car wash at foreign BU","0"
"0","[GMAP] Extra","0","[GMAP] Fuelling","2","0","[GMAP] Manual fuel purchase flow","0"
"1","[GMAP] CAR WASH","0","[GMAP][Terms] Forecourt terms acceptances upon first time Wallet use","0","0","[GMAP][Terms] Forecourt terms acceptances upon first time Wallet use","0"
"0","[GMAP] CAR WASH","1","[GMAP] CW consumption","1","0","[GMAP] Single wash consumption","0"
"1","[GMAP] CAR WASH SUBSCRIPTION","0","[GMAP] CWS consumption","0","0","[GMAP] CWS cancel consumption","0"
"1","[GMAP] CAR WASH SUBSCRIPTION","0","[GMAP] CWS consumption","0","0","[GMAP] CWS up-sell consumption","0"
"1","[GMAP] CAR WASH SUBSCRIPTION","0","[GMAP] CWS consumption","0","0","[GMAP] CWS down-sell consumption","0"
"0","[GMAP] CAR WASH SUBSCRIPTION","0","[GMAP] CWS-NewLogic","1","0","[GMAP] CWS flow when at a store with no car wash at native BU","0"
"0","[GMAP] CAR WASH SUBSCRIPTION","0","[GMAP] Cancel of CWS","1","0","[GMAP] Cancel of CWS","0"
"0","[GMAP] ACCOUNT","0","[GMAP][Terms] Accounts","1","0","[GMAP] Accounts","0"
"0","[GMAP] CAR WASH SUBSCRIPTION","0","[GMAP]","1","0","[GMAP]","0"
"0","[GMAP] SLTests","0","","1","0","","0"
"0","[GMAP] PAY BY PLATE","0","[GMAP] | Pay By Plate","1","0","[GMAP] Adding car to Pay By Plate","0"
"0","[GMAP] PAY BY PLATE","0","","1","0","","0"
