"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","[GMAP] ACCOUNT","0","[GMAP] My Account","8","0","[GMAP] Wallet","0"
"0","[GMAP] OTHER FEATURES","0","[GMAP] Store Locator","9","0","[GMAP] Store Locator","0"
"6","[GMAP] Extra","0","[GMAP] CWS enrollment","12","0","[GMAP] Purchasing CWS subscription","0"
"2","[GMAP] CAR WASH SUBSCRIPTION","0","[GMAP] CW New Logic","3","0","[GMAP] CWS-NewLogic","0"
"0","[GMAP] FUELLING","0","[GMAP] My Account","1","0","[GMAP] Wallet","0"
"0","[GMAP] SUBSCRIPTIONS","0","[GMAP] CWS enrollment","3","0","[GMAP] Purchasing CWS subscription","0"
"0","[GMAP] PAY BY PLATE","0","[GMAP] | Pay By Plate","2","0","[GMAP] Adding car to Pay By Plate","0"
"0","[GMAP] SINGLE_FUELLING_TESTS","0","[GMAP] Fuelling","5","0","[GMAP] Single fuel","0"
"0","[GMAP] GIFT CARD","0","[GMAP] Gift Cards","2","0","[GMAP] GiftCards","0"
"2","[GMAP] CAR WASH","0","[GMAP] CW consumption","0","0","[GMAP] Single wash consumption","0"
"0","[GMAP] PAY BY PLATE","0","[GMAP] Fuelling","4","0","[GMAP] One Touch","0"
"2","[GMAP] Extra","0","[GMAP] CW consumption","4","0","[GMAP] Single wash consumption","0"
"0","[GMAP] FUELLING","0","[GMAP] Fuelling","4","0","[GMAP] Single fuel","0"
"0","[GMAP] CAR WASH SUBSCRIPTION","0","[GMAP] CW","1","0","[GMAP] Frictionless","0"
"1","[GMAP] GIFT CARD","0","[GMAP] Mini Gift Cards","0","0","[GMAP] Mini GiftCards","0"
"0","[GMAP] CAR WASH SUBSCRIPTION","0","[GMAP] CW","3","0","[GMAP] One Touch","0"
"1","[GMAP] CAR WASH SUBSCRIPTION","0","[GMAP] CWS consumption","0","0","[GMAP] CWS cancel up-sell consumption","0"
"2","[GMAP] Extra","0","[GMAP] Fuelling","4","0","[GMAP] Frictionless","0"
"0","[GMAP] ONBOARDING","0","[GMAP] Sign Up - First Launch, Home section, Account section","2","0","[GMAP] Sign Up - First Launch","0"
"4","[GMAP] Extra","0","[GMAP] CW consumption","0","0","[GMAP] Tier discount upgrade","0"
"0","[GMAP] CAR WASH","0","","1","0","","0"
"0","[GMAP] CAR WASH","0","[NPS][CW]NPS Screen","1","0","[TEST][CW][NPS] - App acknowledges that user has seen the screen by rating experience NPS","0"
"0","[GMAP] CAR WASH","0","[GMAP] CW New Logic","1","0","[GMAP] Single wash and subscription station offer","0"
"0","[GMAP] ACCOUNT","0","[GMAP] Remotely configurable screens","2","0","[GMAP] Account UI-Profile Section-Add a new CIRCLE K MASTERCARD item","0"
"4","[GMAP] Extra","0","[GMAP] Fuelling","2","0","[GMAP] One Touch","0"
"0","[GMAP] PAY BY PLATE","0","[GMAP] PBP settings","1","0","[GMAP] Removing license plate","0"
"0","[GMAP] CAR WASH","0","[GMAP][Terms] Forecourt terms for Car Wash after user buys CWS plan","1","0","[GMAP][Terms] Forecourt terms after user buys CWS plan","0"
"2","[GMAP] Extra","0","[GMAP] Fuelling","0","0","[GMAP] Manual fuel purchase flow","0"
"0","[GMAP] FUELLING","0","[GMAP] Fuelling","2","0","[GMAP] Manual fuel","0"
"0","[GMAP] SINGLE_FUELLING_TESTS","0","","1","0","","0"
