"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"User tries to sign up for Easy Pay - step 2 form fields validation","282904","User tries to sign up for Easy Pay - step 2 form fields validation","GMAP NA Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 04:58:27 GMT 2025","passed","Fri Mar 28 05:03:10 GMT 2025","testcases.EasyPayTests","GMAP NA Tests | Easy Pay","testcases.EasyPayTests","userTriesToSignUpForEasyPayStep2FormFieldsValidation"
"Mocked user can link 'Easy Pay' card with email linked to card","88506","Mocked user can link 'Easy Pay' card with email linked to card","GMAP NA Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 04:44:53 GMT 2025","passed","Fri Mar 28 04:46:22 GMT 2025","testcases.EasyPayTests","GMAP NA Tests | Easy Pay","testcases.EasyPayTests","mockedUserCanLinkEasyPayCardWithEmailLinkedToCard"
"User tries to attempt actions on the Help Section from outside US","68278","User tries to attempt actions on the Help Section from outside US","GMAP NA Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 04:47:55 GMT 2025","passed","Fri Mar 28 04:49:04 GMT 2025","testcases.AccountTests","GMAP NA Tests | Account","testcases.AccountTests","userTriesToAttemptOptionsFromHelpSectionOutsideUSLocation"
"Existing user tries to sign-in via phone number on 'Home' screen using OTP code","77575","Existing user tries to sign-in via phone number on 'Home' screen using OTP code","GMAP NA Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 05:10:10 GMT 2025","passed","Fri Mar 28 05:11:28 GMT 2025","testcases.OTPTests","GMAP NA Tests | OTP","testcases.OTPTests","existingUserTriesToSignInViaPhoneNumberOnHomeScreenUsingOTPCode"
"Background task that logs the user into the GMAP NA application","125610","BACKGROUND: Log in as existing user | [Home]","GMAP NA Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 04:39:49 GMT 2025","passed","Fri Mar 28 04:41:54 GMT 2025","testcases.HomeTests","GMAP NA Tests | Home","testcases.HomeTests","logInAsExistingUserUsingPhoneNumber"
"User attempts to add an invalid code","25483","User attempts to add an invalid code","GMAP NA Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 05:08:24 GMT 2025","passed","Fri Mar 28 05:08:50 GMT 2025","testcases.PartnershipCodesTests","GMAP NA Tests | Partnership Codes","testcases.PartnershipCodesTests","userAttemptsToAddAnInvalidCode"
"Background task that logs the user into the GMAP NA application","180249","BACKGROUND: Log in as existing user | [Easy Pay]","GMAP NA Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 04:39:52 GMT 2025","broken","Fri Mar 28 04:42:52 GMT 2025","testcases.EasyPayTests","GMAP NA Tests | Easy Pay","testcases.EasyPayTests","logInAsExistingUserUsingPhoneNumber"
"Existing user tries to sign-in via phone number on 'Account' screen using OTP code","75875","Existing user tries to sign-in via phone number on 'Home' screen using OTP code","GMAP NA Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 05:14:31 GMT 2025","passed","Fri Mar 28 05:15:47 GMT 2025","testcases.OTPTests","GMAP NA Tests | OTP","testcases.OTPTests","existingUserTriesToSignInViaPhoneNumberOnAccountScreenUsingOtpCode"
"User tries to change email on profile screen with valid inputs","203483","User tries to change email on profile screen with valid inputs","GMAP NA Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 04:57:27 GMT 2025","passed","Fri Mar 28 05:00:50 GMT 2025","testcases.AccountTests","GMAP NA Tests | Account","testcases.AccountTests","userTriesToChangeEmailOnProfileScreenWithValidInputs"
"Fuel Prices Line verification in Home Page Header for Logged in user","163137","Fuel Prices Line verification in Home Page Header for Logged In user","GMAP NA Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 04:50:20 GMT 2025","failed","Fri Mar 28 04:53:03 GMT 2025","testcases.HomeTests","GMAP NA Tests | Home","testcases.HomeTests","fuelPriceVerificationForLoggedInUser"
"Onboarding Rewards for New IC Member","177675","Onboarding Rewards - 90 days after sign-up","GMAP NA Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Fri Mar 28 04:54:06 GMT 2025","broken","Fri Mar 28 04:57:03 GMT 2025","testcases.OnboardingRewardsTest","GMAP NA Tests | Onboarding Rewards","testcases.OnboardingRewardsTest","userVerifyOnboardingRewards90DaysAfterSignUp"
