"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Existing user tries to sign-in via phone number on 'Home' screen using OTP code","95501","Existing user tries to sign-in via phone number on 'Home' screen using OTP code","GMAP NA Mobile Test Automation - [IOS PARALLEL XML SUITE]","Thu Mar 27 06:04:38 GMT 2025","passed","Thu Mar 27 06:06:14 GMT 2025","testcases.OTPTests","GMAP NA Tests | OTP","testcases.OTPTests","existingUserTriesToSignInViaPhoneNumberOnHomeScreenUsingOTPCode"
"User can see 'Inner Circle' section when sets IC station","49301","User can see 'Inner Circle' section when sets IC station","GMAP NA Mobile Test Automation - [IOS PARALLEL XML SUITE]","Thu Mar 27 05:38:25 GMT 2025","passed","Thu Mar 27 05:39:14 GMT 2025","testcases.InnerCircleTests","GMAP NA Tests | Inner Circle","testcases.InnerCircleTests","userCanSeeInnerCircleSectionWhenSetsICStation"
"New user tries to chooses fuel preferences","222662","New user tries to chooses fuel preferences","GMAP NA Mobile Test Automation - [IOS PARALLEL XML SUITE]","Thu Mar 27 06:09:49 GMT 2025","passed","Thu Mar 27 06:13:32 GMT 2025","testcases.AccountTests","GMAP NA Tests | Account","testcases.AccountTests","newUserTriesToChoosesFuelPreferences"
"User is able to see member offers carousel","45049","User is able to see member offers carousel","GMAP NA Mobile Test Automation - [IOS PARALLEL XML SUITE]","Thu Mar 27 05:39:53 GMT 2025","passed","Thu Mar 27 05:40:39 GMT 2025","testcases.HomeTests","GMAP NA Tests | Home","testcases.HomeTests","userIsAbleToSeeMemberOffersCarousel"
"Existing user tries to sign-in via email address","75386","Existing user tries to sign-in via email address","GMAP NA Mobile Test Automation - [IOS PARALLEL XML SUITE]","Thu Mar 27 06:14:05 GMT 2025","passed","Thu Mar 27 06:15:20 GMT 2025","testcases.SignInTests","GMAP NA Tests | Sign In","testcases.SignInTests","existingUserTriesToSignInViaEmailAddress"
"User can't link 'Easy Pay' card with email not linked to card","60411","User can't link 'Easy Pay' card with email not linked to card","GMAP NA Mobile Test Automation - [IOS PARALLEL XML SUITE]","Thu Mar 27 05:44:20 GMT 2025","passed","Thu Mar 27 05:45:21 GMT 2025","testcases.EasyPayTests","GMAP NA Tests | Easy Pay","testcases.EasyPayTests","userCantLinkEasyPayCardWithEmailNotLinkedToCard"
"User tries to change email on profile screen with valid inputs","230387","User tries to change email on profile screen with valid inputs","GMAP NA Mobile Test Automation - [IOS PARALLEL XML SUITE]","Thu Mar 27 05:58:56 GMT 2025","passed","Thu Mar 27 06:02:47 GMT 2025","testcases.AccountTests","GMAP NA Tests | Account","testcases.AccountTests","userTriesToChangeEmailOnProfileScreenWithValidInputs"
"User can see an appropriate message if there is no Circle K station in searched area on map","30173","User can see an appropriate message if there is no Circle K station in searched area on map","GMAP NA Mobile Test Automation - [IOS PARALLEL XML SUITE]","Thu Mar 27 06:06:34 GMT 2025","passed","Thu Mar 27 06:07:04 GMT 2025","testcases.OtherFeaturesTests","GMAP NA Tests | Other Features","testcases.OtherFeaturesTests","userCanSeeAnAppropriateMessageIfThereIsNoCircleKStationInSearchedAreaOnMap"
"Mocked user can unlink 'Easy Pay' card unsuccessfully with 'Inner Circle' account","121547","Mocked user can unlink 'Easy Pay' card unsuccessfully with 'Inner Circle' account","GMAP NA Mobile Test Automation - [IOS PARALLEL XML SUITE]","Thu Mar 27 05:49:13 GMT 2025","passed","Thu Mar 27 05:51:15 GMT 2025","testcases.EasyPayTests","GMAP NA Tests | Easy Pay","testcases.EasyPayTests","mockedUserCanUnLinkEasyPayCardUnSuccessFully"
"User tries to attempt actions on the Help Section from outside US","101698","User tries to attempt actions on the Help Section from outside US","GMAP NA Mobile Test Automation - [IOS PARALLEL XML SUITE]","Thu Mar 27 05:45:32 GMT 2025","passed","Thu Mar 27 05:47:14 GMT 2025","testcases.AccountTests","GMAP NA Tests | Account","testcases.AccountTests","userTriesToAttemptOptionsFromHelpSectionOutsideUSLocation"
"Background task that logs the user into the GMAP NA application","160938","BACKGROUND: Log in as existing user | [Home]","GMAP NA Mobile Test Automation - [IOS PARALLEL XML SUITE]","Thu Mar 27 05:36:58 GMT 2025","passed","Thu Mar 27 05:39:39 GMT 2025","testcases.HomeTests","GMAP NA Tests | Home","testcases.HomeTests","logInAsExistingUserUsingPhoneNumber"
"New user tries to sign-up via phone number","109419","New user tries to sign-up via phone number","GMAP NA Mobile Test Automation - [IOS PARALLEL XML SUITE]","Thu Mar 27 06:19:06 GMT 2025","passed","Thu Mar 27 06:20:55 GMT 2025","testcases.SignUpTests","GMAP NA Tests | Sign Up","testcases.SignUpTests","newUserTriesToSignUpViaPhoneNumber"
"User tries to change E-Mail on profile screen with invalid inputs","176007","User tries to change E-Mail on profile screen with invalid inputs","GMAP NA Mobile Test Automation - [IOS PARALLEL XML SUITE]","Thu Mar 27 05:39:30 GMT 2025","passed","Thu Mar 27 05:42:26 GMT 2025","testcases.AccountTests","GMAP NA Tests | Account","testcases.AccountTests","userTriesToChangeEmailOnProfileScreenWithInvalidInputs"
"User tries to delete account and cancels deletion","35063","User tries to delete account and cancels deletion","GMAP NA Mobile Test Automation - [IOS PARALLEL XML SUITE]","Thu Mar 27 05:42:40 GMT 2025","passed","Thu Mar 27 05:43:15 GMT 2025","testcases.AccountTests","GMAP NA Tests | Account","testcases.AccountTests","userTriesToDeleteAccountAndCancels"
"As a user, I click on the CTA use to see the coupon barcode","290172","Redeeming a coupon - Unhappy Path","GMAP NA Mobile Test Automation - [IOS PARALLEL XML SUITE]","Thu Mar 27 06:04:25 GMT 2025","broken","Thu Mar 27 06:09:15 GMT 2025","testcases.OnboardingRewardsTest","GMAP NA Tests | Onboarding Rewards","testcases.OnboardingRewardsTest","userNotRedeemingACoupon"
"User attempts multiple times to add the valid code","204180","User attempts multiple times to add the valid code","GMAP NA Mobile Test Automation - [IOS PARALLEL XML SUITE]","Thu Mar 27 06:20:05 GMT 2025","passed","Thu Mar 27 06:23:30 GMT 2025","testcases.PartnershipCodesTests","GMAP NA Tests | Partnership Codes","testcases.PartnershipCodesTests","userAttemptsMultipleTimesToAddTheValidCode"
"Existing user tries to sign-in via phone number on 'Account' screen using OTP code","95967","Existing user tries to sign-in via phone number on 'Home' screen using OTP code","GMAP NA Mobile Test Automation - [IOS PARALLEL XML SUITE]","Thu Mar 27 06:08:48 GMT 2025","passed","Thu Mar 27 06:10:24 GMT 2025","testcases.OTPTests","GMAP NA Tests | OTP","testcases.OTPTests","existingUserTriesToSignInViaPhoneNumberOnAccountScreenUsingOtpCode"
"Onboarding Rewards for New IC Member","178642","Onboarding Rewards for New IC Member - Persistence","GMAP NA Mobile Test Automation - [IOS PARALLEL XML SUITE]","Thu Mar 27 05:47:05 GMT 2025","passed","Thu Mar 27 05:50:04 GMT 2025","testcases.OnboardingRewardsTest","GMAP NA Tests | Onboarding Rewards","testcases.OnboardingRewardsTest","userVerifyOnboardingRewardsForNewICMemberPersistence"
"Fuel Prices Line verification in Home Page Header for Logged out user","229922","Fuel Prices Line verification in Home Page Header for Logged Out user","GMAP NA Mobile Test Automation - [IOS PARALLEL XML SUITE]","Thu Mar 27 05:45:05 GMT 2025","passed","Thu Mar 27 05:48:55 GMT 2025","testcases.HomeTests","GMAP NA Tests | Home","testcases.HomeTests","fuelPriceVerificationForLoggedOutUser"
"User attempts to add an valid code and gets network error","89877","User attempts to add an valid code and gets network error","GMAP NA Mobile Test Automation - [IOS PARALLEL XML SUITE]","Thu Mar 27 06:14:36 GMT 2025","passed","Thu Mar 27 06:16:06 GMT 2025","testcases.PartnershipCodesTests","GMAP NA Tests | Partnership Codes","testcases.PartnershipCodesTests","userAttemptsToAddAnValidCodeAndGetsNetworkError"
"User attempts to view previously redeemed codes","76717","User attempts to view previously redeemed codes","GMAP NA Mobile Test Automation - [IOS PARALLEL XML SUITE]","Thu Mar 27 06:18:14 GMT 2025","passed","Thu Mar 27 06:19:31 GMT 2025","testcases.PartnershipCodesTests","GMAP NA Tests | Partnership Codes","testcases.PartnershipCodesTests","userAttemptsToViewPreviouslyRedeemedCodes"
