"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"User tries to refuel using manual flow","0","User tries to refuel using manual flow","GMAP EU Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 17:28:25 GMT 2025","broken","Thu Mar 27 17:28:25 GMT 2025","testcases.PayByPlateTests","GMAP Tests | Pay By Plate","testcases.PayByPlateTests","userTriesToRefuelUsingManualFlow"
"User tries to refuel with One-Touch flow - attempt cancelled","3","User tries to refuel with One-Touch flow - attempt cancelled- DESC","GMAP EU Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 17:58:16 GMT 2025","broken","Thu Mar 27 17:58:16 GMT 2025","testcases.PayByPlateTests","GMAP Tests | Pay By Plate","testcases.PayByPlateTests","userTriesToRefuelWithOneTouchFlowAttemptCancelled"
"User tries to single fuel using credit card with default fueling preferences, when not enrolled To PBP","0","User tries to single fuel using credit card with default fueling preferences, when not enrolled To PBP","GMAP EU Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 18:48:48 GMT 2025","broken","Thu Mar 27 18:48:48 GMT 2025","testcases.SingleFuellingTests","GMAP Tests | Single Fueling","testcases.SingleFuellingTests","userTriesToSingleFuelWithDefaultFuelPreferences"
"User tries to purchase car wash using Frictionless flow","0","User tries to purchase car wash using Frictionless flow","GMAP EU Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 19:18:35 GMT 2025","broken","Thu Mar 27 19:18:35 GMT 2025","testcases.CarWashSubscriptionTests","GMAP Tests | Car Wash Subscription","testcases.CarWashSubscriptionTests","userTriesToPurchaseCarWashWithFrictionLessFlow"
"User tries to use single wash station offer once user is not at the station","1","User tries to use single wash station offer once user is not at the station","GMAP EU Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 18:57:14 GMT 2025","broken","Thu Mar 27 18:57:14 GMT 2025","testcases.CarWashTests","GMAP Tests | Car Wash","testcases.CarWashTests","userTriesToUseSingleWashStationOffer"
"EXTRA Tier 2 Single fuel purchase flow -NO","0","EXTRA Tier 2 Single fuel purchase flow - NO","GMAP EU Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 17:58:59 GMT 2025","broken","Thu Mar 27 17:58:59 GMT 2025","testcases.ExtraTier2NOTests","GMAP Tests | Extra Tier 2 NO","testcases.ExtraTier2NOTests","singleFuelPurchaseFlowTier2NO"
"Validate that the user sees and acknowledges the NPS screen after a car wash transaction","0","[Car Wash] New NPS screen behavior - Score of 8","GMAP EU Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 18:23:44 GMT 2025","broken","Thu Mar 27 18:23:44 GMT 2025","testcases.CarWashTests","GMAP Tests | Car Wash","testcases.CarWashTests","userAcknowledgesNetPromotionScoreScreen"
"User tries to view the Store card details","0","Searching for Stores- List View","GMAP EU Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 18:27:54 GMT 2025","broken","Thu Mar 27 18:27:54 GMT 2025","testcases.SLTests","GMAP Tests | Store Locator","testcases.SLTests","verifyStoreCardInListView"
"User verify store details screen to show the store information","0","User verify store details screen to show the store information","GMAP EU Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 18:21:12 GMT 2025","broken","Thu Mar 27 18:21:12 GMT 2025","testcases.SLTests","GMAP Tests | Store Locator","testcases.SLTests","userVerifyTheDetailsDisplayedOnStoreLocatorScreen"
"EXTRA Tier 2 manual fuel purchase flow -SE","0","EXTRA Tier 2 Manual fuel purchase flow - SE","GMAP EU Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 17:58:03 GMT 2025","broken","Thu Mar 27 17:58:03 GMT 2025","testcases.ExtraTier2SETests","GMAP Tests | Extra Tier 2 SE","testcases.ExtraTier2SETests","manualFuelPurchaseFlowTier2SE"
