"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","[GMAP] PAY BY PLATE","0","[GMAP] Fuelling","0","0","[GMAP] Manual flow","0"
"4","[GMAP] PAY BY PLATE","0","[GMAP] Fuelling","0","0","[GMAP] One Touch","0"
"5","[GMAP] SINGLE_FUELLING_TESTS","0","[GMAP] Fuelling","0","0","[GMAP] Single fuel","0"
"1","[GMAP] CAR WASH SUBSCRIPTION","0","[GMAP] CW","0","0","[GMAP] Frictionless","0"
"1","[GMAP] CAR WASH","0","[GMAP] CW New Logic","0","0","[GMAP] Single wash station offer","0"
"6","[GMAP] Extra","0","[GMAP] Fuelling","0","0","[GMAP] Single fuel","0"
"1","[GMAP] CAR WASH","0","[NPS][CW]NPS Screen","0","0","[TEST][CW][NPS] - App acknowledges that user has seen the screen by rating experience NPS","0"
"9","[GMAP] SLTests","0","[GMAP] Store Locator","0","0","[GMAP] Store Locator","0"
"2","[GMAP] Extra","0","[GMAP] Fuelling","0","0","[GMAP] Manual fuel purchase flow","0"
"1","[GMAP] CAR WASH","0","[GMAP][Terms] Forecourt terms acceptances upon first time Wallet use","0","0","[GMAP][Terms] Forecourt terms acceptances upon first time Wallet use","0"
"1","[GMAP] ACCOUNT","0","","0","0","","0"
"9","[GMAP] ACCOUNT","0","[GMAP] My Account","0","0","[GMAP] Wallet","0"
"1","[GMAP] ONBOARDING","0","[GMAP] Sign In - First Launch","0","0","[GMAP] Sign In - First Launch","0"
"2","[GMAP] CAR WASH","0","[GMAP] CW consumption","0","0","[GMAP] Single wash consumption","0"
"1","[GMAP] CAR WASH SUBSCRIPTION","0","[GMAP] CWS-NewLogic","0","0","[GMAP] CWS flow when at a store with no car wash at foreign BU","0"
"4","[GMAP] Extra","0","[GMAP] CW consumption","0","0","[GMAP] Tier discount upgrade","0"
"1","[GMAP] PAY BY PLATE","0","","0","0","","0"
"1","[GMAP] CAR WASH","0","[GMAP] CWS enrollment","0","0","[GMAP] Purchasing CWS subscription","0"
"6","[GMAP] Extra","0","[GMAP] CW consumption","0","0","[GMAP] Single wash consumption","0"
"1","[GMAP] CAR WASH SUBSCRIPTION","0","[GMAP]","0","0","[GMAP]","0"
"2","[GMAP] ACCOUNT","0","[GMAP] Remotely configurable screens","0","0","[GMAP] Account UI-Profile Section-Add a new CIRCLE K MASTERCARD item","0"
"1","[GMAP] CAR WASH SUBSCRIPTION","0","[GMAP] CWS consumption","0","0","[GMAP] CWS no up-sell/down-sell consumption","0"
"2","[GMAP] PAY BY PLATE","0","[GMAP] Fuelling","0","0","[GMAP] Frictionless","0"
"2","[GMAP] SUBSCRIPTIONS","0","[GMAP] CWS enrollment","0","0","[GMAP] Purchasing CWS subscription","0"
"4","[GMAP] CAR WASH SUBSCRIPTION","0","[GMAP] CW New Logic","0","0","[GMAP] CWS-NewLogic","0"
"1","[GMAP] CAR WASH SUBSCRIPTION","0","[GMAP] CWS consumption","0","0","[GMAP] CWS cancel up-sell consumption","0"
"1","[GMAP] CAR WASH SUBSCRIPTION","0","[GMAP] CWS consumption","0","0","[GMAP] Single wash consumption","0"
"6","[GMAP] Extra","0","[GMAP] CWS enrollment","0","0","[GMAP] Purchasing CWS subscription","0"
"3","[GMAP] ACCOUNT","0","[GMAP] My Account","0","0","[GMAP] Profile","0"
"1","[GMAP] CAR WASH SUBSCRIPTION","0","[GMAP] Cancel of CWS","0","0","[GMAP] Cancel of CWS","0"
"1","[GMAP] CAR WASH","0","[GMAP][Terms] Forecourt terms for Car Wash after user buys CWS plan","0","0","[GMAP][Terms] Forecourt terms after user buys CWS plan","0"
"2","[GMAP] ONBOARDING","0","[GMAP] Sign Up - First Launch, Home section, Account section","0","0","[GMAP] Sign Up - First Launch","0"
"1","[GMAP] SLTests","0","","0","0","","0"
"1","[GMAP] CAR WASH","0","[NPS][CW]NPS Screen","0","0","[TEST][CW][NPS] - New NPS screen behavior - Score of 6 or less","0"
"1","[GMAP] CAR WASH SUBSCRIPTION","0","","0","0","","0"
"1","[GMAP] CAR WASH SUBSCRIPTION","0","[GMAP] CWS-NewLogic","0","0","[GMAP] CWS flow when at a store with no car wash at native BU","0"
"1","[GMAP] CAR WASH","0","","0","0","","0"
"2","[GMAP] PAY BY PLATE","0","[GMAP] | Pay By Plate","0","0","[GMAP] Adding car to Pay By Plate","0"
"1","[GMAP] CAR WASH SUBSCRIPTION","0","[GMAP] CWS consumption","0","0","[GMAP] CWS up-sell consumption","0"
"1","[GMAP] CAR WASH SUBSCRIPTION","0","[GMAP] CWS consumption","0","0","[GMAP] CWS down-sell consumption","0"
"1","[GMAP] PAY BY PLATE","0","[GMAP] PBP settings","0","0","[GMAP] Removing license plate","0"
"1","[GMAP] SINGLE_FUELLING_TESTS","0","","0","0","","0"
"1","[GMAP] PAY BY PLATE","0","[GMAP] PBP settings","0","0","[GMAP] Adding license plate","0"
"1","[GMAP] ACCOUNT","0","[GMAP][Terms]","0","0","[GMAP] Marketing consents","0"
"1","[GMAP] SUBSCRIPTIONS","0","[GMAP] PBP enrollment","0","0","[GMAP] Adding license plate","0"
"1","[GMAP] ACCOUNT","0","[GMAP][Terms] Accounts","0","0","[GMAP] Accounts","0"
"1","[GMAP] CAR WASH SUBSCRIPTION","0","[GMAP] CWS consumption","0","0","[GMAP] CWS cancel consumption","0"
"1","[GMAP] ACCOUNT","0","[GMAP] Account","0","0","[GMAP] Terms","0"
