"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"User tries to add new Gift Card to wallet by Card Number and PIN","80445","User tries to add new Gift Card to wallet  by Card Number","GMAP EU Mobile Test Automation - [IOS PARALLEL XML SUITE]","Fri Mar 28 14:34:14 GMT 2025","passed","Fri Mar 28 14:35:35 GMT 2025","testcases.GiftCardTests","GMAP Tests | Gift Card","testcases.GiftCardTests","userTriesToAddNewGiftCardToWalletByCardNumberAndPIN"
"Background task that logs the user into the GMAP application","116089","BACKGROUND: Log in as existing user | [Account]","GMAP EU Mobile Test Automation - [IOS PARALLEL XML SUITE]","Fri Mar 28 14:17:54 GMT 2025","passed","Fri Mar 28 14:19:50 GMT 2025","testcases.AccountTests","GMAP Tests | Account","testcases.AccountTests","logInAsExistingUserUsingPhoneNumber"
"User tries to search for stations using exact address or city and state","166300","User tries to search for stations","GMAP EU Mobile Test Automation - [IOS PARALLEL XML SUITE]","Fri Mar 28 14:17:00 GMT 2025","passed","Fri Mar 28 14:19:47 GMT 2025","testcases.SLTests","GMAP Tests | Store Locator","testcases.SLTests","userTriesToSearchForStationsUsingExactAddressOrCityAndState"
"User tries to refuel using single fuel using automatic renewal Gift Card with foreign currency","282287","User tries to refuel using single fuel using automatic renewal Gift Card with foreign currency","GMAP EU Mobile Test Automation - [IOS PARALLEL XML SUITE]","Fri Mar 28 14:31:39 GMT 2025","broken","Fri Mar 28 14:36:21 GMT 2025","testcases.GiftCardFuellingTests","GMAP Tests | Fuelling","testcases.GiftCardFuellingTests","userTriesToRefuelUsingSingleFuelWithGiftCardForeignCurrency"
"User tries to purchase Gift Card from CTA","280035","User tries to purchase Gift Card from CTA","GMAP EU Mobile Test Automation - [IOS PARALLEL XML SUITE]","Fri Mar 28 14:41:42 GMT 2025","passed","Fri Mar 28 14:46:22 GMT 2025","testcases.GiftCardTests","GMAP Tests | Gift Card","testcases.GiftCardTests","userTriesToPurchaseGiftCard"
"User tries to add invalid Credit Card to wallet","91539","User tries to add invalid Credit Card to wallet - DESC","GMAP EU Mobile Test Automation - [IOS PARALLEL XML SUITE]","Fri Mar 28 14:28:52 GMT 2025","passed","Fri Mar 28 14:30:23 GMT 2025","testcases.AccountTests","GMAP Tests | Account","testcases.AccountTests","userTriesToAddInvalidCreditCardToWallet"
"EXTRA Tier 1 CWS purchase flow - user not located at any store with CWS - SE","1916","EXTRA Tier 1 CWS purchase flow - user not located at any store with CWS - SE","GMAP EU Mobile Test Automation - [IOS PARALLEL XML SUITE]","Fri Mar 28 14:14:21 GMT 2025","broken","Fri Mar 28 14:14:23 GMT 2025","testcases.ExtraTier1SETests","GMAP Tests | Extra Tier 1 SE","testcases.ExtraTier1SETests","CWSPurchaseFlowUserNotLocatedAtAnyStoreTier1SE"
"EXTRA Tier 1 Changing 'Everyday savings' discount from Tier1 to Tier2 - NO","2097","EXTRA Tier 1 Changing 'Everyday savings' discount from Tier1 to Tier2 - NO","GMAP EU Mobile Test Automation - [IOS PARALLEL XML SUITE]","Fri Mar 28 14:18:21 GMT 2025","broken","Fri Mar 28 14:18:23 GMT 2025","testcases.ExtraTier1NOTests","GMAP Tests | Extra Tier 1 NO","testcases.ExtraTier1NOTests","changingEveryDaySavingsDiscountFromTier1ToTier2NO"
"EXTRA Tier 3 CWS plan consumption with CURRENT flow - SE","1906","EXTRA Tier 3 CWS plan consumption with current flow - SE","GMAP EU Mobile Test Automation - [IOS PARALLEL XML SUITE]","Fri Mar 28 14:34:36 GMT 2025","broken","Fri Mar 28 14:34:38 GMT 2025","testcases.ExtraTier3SETests","GMAP Tests | Extra Tier 3 SE","testcases.ExtraTier3SETests","CWSConsumptionFlowTier3SE"
"New user tries to Sign-Up via mobile phone number through sign up button on home page","24680","New user tries to Sign-Up via mobile phone number on home page","GMAP EU Mobile Test Automation - [IOS PARALLEL XML SUITE]","Fri Mar 28 14:21:25 GMT 2025","failed","Fri Mar 28 14:21:50 GMT 2025","testcases.OnboardingTests","GMAP Tests | OTP Onboarding","testcases.OnboardingTests","newUserSignUpViaMobilePhoneNumberOnHomePage"
